"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"ST129Q05TA","|","t3",2,2,"",1.49851627378262,0.019928996831906,75.192759897654,0,1.45945615774407,1.53757638982116,1.49851627378262,1.49851627378262
"ST129Q06TA","|","t1",2,2,"",-0.737052696787705,0.0199412765926305,-36.9611590995178,0,-0.776136880715012,-0.697968512860397,-0.737052696787705,-0.737052696787705
"ST129Q06TA","|","t2",2,2,"",0.575243059877205,0.0199412765926305,28.8468522667096,0,0.536158875949898,0.614327243804513,0.575243059877205,0.575243059877205
"ST129Q06TA","|","t3",2,2,"",1.42563336904377,0.0199412765926305,71.491579910718,0,1.38654918511646,1.46471755297108,1.42563336904377,1.42563336904377
"ST129Q07TA","|","t1",2,2,"",-0.777347449152134,0.0200458069295232,-38.7785561282278,0,-0.816636508775043,-0.738058389529225,-0.777347449152134,-0.777347449152134
"ST129Q07TA","|","t2",2,2,"",0.457204688920313,0.0200458069295232,22.8079962322169,0,0.417915629297404,0.496493748543222,0.457204688920313,0.457204688920313
"ST129Q07TA","|","t3",2,2,"",1.25199929547331,0.0200458069295232,62.4569167943735,0,1.2127102358504,1.29128835509622,1.25199929547331,1.25199929547331
"ST129Q08TA","|","t1",2,2,"",-0.671546167108693,0.0199698131831067,-33.6280645668123,0,-0.710686281725575,-0.63240605249181,-0.671546167108693,-0.671546167108693
"ST129Q08TA","|","t2",2,2,"",0.570326756560059,0.0199698131831067,28.5594437629753,0,0.531186641943176,0.609466871176941,0.570326756560059,0.570326756560059
"ST129Q08TA","|","t3",2,2,"",1.3388866575766,0.0199698131831067,67.0455274318352,0,1.29974654295972,1.37802677219349,1.3388866575766,1.3388866575766
"ST113Q01TA","~~","ST113Q01TA",2,2,"",0.206898558903965,0,NA,NA,0.206898558903965,0.206898558903965,0.206898558903965,0.206898558903965
"ST113Q02TA","~~","ST113Q02TA",2,2,"",0.102443170289586,0,NA,NA,0.102443170289586,0.102443170289586,0.102443170289586,0.102443170289586
"ST113Q03TA","~~","ST113Q03TA",2,2,"",0.156823197215113,0,NA,NA,0.156823197215113,0.156823197215113,0.156823197215113,0.156823197215113
"ST113Q04TA","~~","ST113Q04TA",2,2,"",0.249646640706133,0,NA,NA,0.249646640706133,0.249646640706133,0.249646640706133,0.249646640706133
"ST129Q01TA","~~","ST129Q01TA",2,2,"",0.430570367975001,0,NA,NA,0.430570367975001,0.430570367975001,0.430570367975001,0.430570367975001
"ST129Q02TA","~~","ST129Q02TA",2,2,"",0.330262946439234,0,NA,NA,0.330262946439234,0.330262946439234,0.330262946439234,0.330262946439234
"ST129Q03TA","~~","ST129Q03TA",2,2,"",0.3505475491023,0,NA,NA,0.3505475491023,0.3505475491023,0.3505475491023,0.3505475491023
"ST129Q04TA","~~","ST129Q04TA",2,2,"",0.29030412699924,0,NA,NA,0.29030412699924,0.29030412699924,0.29030412699924,0.29030412699924
"ST129Q05TA","~~","ST129Q05TA",2,2,"",0.276538162617509,0,NA,NA,0.276538162617509,0.276538162617509,0.276538162617509,0.276538162617509
"ST129Q06TA","~~","ST129Q06TA",2,2,"",0.295032899255618,0,NA,NA,0.295032899255618,0.295032899255618,0.295032899255618,0.295032899255618
"ST129Q07TA","~~","ST129Q07TA",2,2,"",0.452928893693352,0,NA,NA,0.452928893693352,0.452928893693352,0.452928893693352,0.452928893693352
"ST129Q08TA","~~","ST129Q08TA",2,2,"",0.338056296661303,0,NA,NA,0.338056296661303,0.338056296661303,0.338056296661303,0.338056296661303
"MOT","~~","MOT",2,2,"",0.793101441096035,0.0168413448746051,47.0925242016715,0,0.760093011690591,0.826109870501479,1,1
"SCIEFF","~~","SCIEFF",2,2,"",0.569429632024999,0.0105080801016764,54.1896927426502,0,0.548834173479051,0.590025090570947,1,1
"MOT","~~","SCIEFF",2,2,"",0.243641454976628,0.0045498774623133,53.5490146701121,0,0.234723859016423,0.252559050936832,0.362549059815102,0.362549059815102
"ST113Q01TA","~*~","ST113Q01TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST113Q02TA","~*~","ST113Q02TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST113Q03TA","~*~","ST113Q03TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST113Q04TA","~*~","ST113Q04TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q01TA","~*~","ST129Q01TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q02TA","~*~","ST129Q02TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q03TA","~*~","ST129Q03TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q04TA","~*~","ST129Q04TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q05TA","~*~","ST129Q05TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q06TA","~*~","ST129Q06TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q07TA","~*~","ST129Q07TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST129Q08TA","~*~","ST129Q08TA",2,2,"",1,0,NA,NA,1,1,1,1
"ST113Q01TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
"ST113Q02TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
"ST113Q03TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
"ST113Q04TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
"ST129Q01TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
"ST129Q02TA","~1","",2,2,"",0,0,NA,NA,0,0,0,0
