Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
SC064Q02TA,GReaT,ordinal,,,,"10.0: 3.9%, 20.0: 11.6%, 30.0: 5.9%, 50.0: 5.3%, 70.0: 3.4%, 75.0: 2.6%, 80.0: 6.3%, 90.0: 8.8%, 98.0: 2.8%, 100.0: 49.4%",1.000
IMMIG,GReaT,categorical,,,,"1: 73.8%, 2: 8.1%, 3: 18.1%",1.000
SC064Q07WA,GReaT,ordinal,,,,"1.0: 16.9%, 2.0: 17.3%, 3.0: 6.0%, 4.0: 1.3%, 5.0: 15.6%, 6.0: 3.1%, 7.0: 5.7%, 10.0: 8.7%, 15.0: 5.3%, 16.0: 2.8%, 30.0: 3.4%, 48.0: 7.9%, 100.0: 5.9%",1.000
ST001D01T,GReaT,categorical,,,,"8: 0.2%, 9: 4.9%, 10: 94.6%, 11: 0.4%",1.000
SC064Q06WA,GReaT,ordinal,,,,"3.0: 2.8%, 4.0: 9.4%, 10.0: 11.9%, 15.0: 5.3%, 20.0: 23.9%, 23.0: 0.0%, 30.0: 3.4%, 33.0: 1.4%, 50.0: 5.7%, 70.0: 6.0%, 80.0: 9.8%, 90.0: 3.2%, 100.0: 17.3%",1.000
AGE,Tabula,continuous,15.749 ± 0.282,15 to 16,1.000,,
ESCS,Tabula,continuous,0.645 ± 0.652,-2 to 2,1.000,,
PV1MATH,Tabula,continuous,606.207 ± 66.708,359 to 838,1.000,,
PV2MATH,Tabula,continuous,607.440 ± 66.883,329 to 867,1.000,,
PV3MATH,Tabula,continuous,606.913 ± 68.227,296 to 843,1.000,,
PV4MATH,Tabula,continuous,605.926 ± 67.725,297 to 861,1.000,,
PV5MATH,Tabula,continuous,606.343 ± 69.301,288 to 859,1.000,,
PV6MATH,Tabula,continuous,607.801 ± 67.447,335 to 834,1.000,,
PV7MATH,Tabula,continuous,608.225 ± 69.363,339 to 833,1.000,,
PV8MATH,Tabula,continuous,608.952 ± 68.307,238 to 838,1.000,,
PV9MATH,Tabula,continuous,608.594 ± 68.043,293 to 819,1.000,,
PV10MATH,Tabula,continuous,609.174 ± 67.318,313 to 827,1.000,,
SCHSIZE,Tabula,continuous,1260.824 ± 807.301,3 to 4020,1.000,,
MCLSIZE,Tabula,continuous,29.731 ± 8.061,18 to 38,1.000,,
SC064Q03TA,Tabula,ordinal,,,,"1.0: 9.6%, 2.0: 34.7%, 3.0: 5.7%, 4.0: 0.0%, 5.0: 25.8%, 6.0: 6.2%, 10.0: 6.0%, 16.0: 2.6%, 20.0: 6.0%, 30.0: 3.5%, 100.0: 0.0%",1.000
SC064Q01TA,Tabula,ordinal,,,,"4.0: 4.3%, 5.0: 8.6%, 6.0: 7.5%, 10.0: 6.1%, 15.0: 6.1%, 20.0: 28.1%, 25.0: 8.0%, 30.0: 8.8%, 34.0: 7.1%, 40.0: 5.8%, 70.0: 9.6%",1.000
SC064Q04NA,Tabula,ordinal,,,,"1.0: 3.0%, 2.0: 18.9%, 3.0: 16.6%, 4.0: 4.3%, 5.0: 14.4%, 6.0: 6.3%, 7.0: 0.0%, 8.0: 3.1%, 10.0: 14.2%, 15.0: 8.6%, 20.0: 6.0%, 26.0: 4.5%",1.000
MISCED,Tabula,ordinal,,,,"1: 0.5%, 2: 0.7%, 3: 1.5%, 4: 11.4%, 6: 10.9%, 7: 13.0%, 8: 31.2%, 9: 25.1%, 10: 5.8%",1.000
SC064Q05WA,Tabula,ordinal,,,,"2.0: 14.6%, 4.0: 6.5%, 5.0: 13.7%, 6.0: 5.6%, 10.0: 13.8%, 15.0: 1.8%, 20.0: 21.7%, 25.0: 4.3%, 28.0: 6.9%, 40.0: 6.0%, 70.0: 4.6%, 85.0: 0.5%",1.000
ST268Q04JA,Tabula,ordinal,,,,"1: 6.4%, 2: 28.4%, 3: 42.6%, 4: 22.6%",1.000
ST268Q07JA,Tabula,ordinal,,,,"1: 0.2%, 2: 0.1%, 3: 14.5%, 4: 85.2%",1.000
