Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q06WA,GReaT,ordinal,0.999,"3.0: 3.0%, 4.0: 8.6%, 5.0: 0.1%, 10.0: 12.7%, 15.0: 5.3%, 20.0: 24.8%, 23.0: 0.0%, 30.0: 3.5%, 33.0: 0.7%, 50.0: 7.1%, 70.0: 7.3%, 80.0: 8.3%, 90.0: 3.5%, 100.0: 15.1%"
SC064Q06WA,PredLLM,ordinal,0.000,"3.015865958445432: 2.8%, 4.087490337521686: 11.5%, 10.160028485620415: 14.7%, 15.160942254642904: 8.9%, 20.1618560236654: 21.7%, 25.51997791904663: 0.0%, 30.163683561710368: 5.5%, 31.94972419350411: 0.0%, 33.021348572580365: 3.1%, 41.59434360519034: 0.0%, 45.88084112149533: 1.0%, 50.16733863780032: 7.8%, 70.17099371389027: 11.4%, 76.60073998834775: 0.0%, 80.17282125193525: 7.4%, 90.17464878998022: 4.1%"
SC064Q06WA,REaLTabFormer,ordinal,0.000,"0.872617200292936: 0.0%, 3.015865958445432: 3.5%, 4.087490337521686: 10.3%, 8.01677972746792: 0.0%, 10.160028485620415: 11.2%, 15.160942254642904: 8.2%, 20.1618560236654: 13.1%, 29.80647543535162: 2.0%, 33.021348572580365: 1.0%, 50.16733863780032: 3.2%, 58.74033367041029: 0.0%, 64.09845556579154: 0.0%, 70.17099371389027: 9.7%, 71.59982621932527: 0.0%, 79.8156131255765: 11.0%, 81.60165375737024: 0.0%, 88.74581628454523: 0.0%, 89.10302441090397: 0.0%, 90.17464878998022: 7.0%, 99.81926820166646: 19.7%"
SC064Q06WA,TabDiff,ordinal,1.000,"3: 4.5%, 4: 6.4%, 10: 10.1%, 15: 5.8%, 20: 19.9%, 30: 4.8%, 33: 3.0%, 50: 5.3%, 70: 8.5%, 80: 8.1%, 90: 4.4%, 100: 19.1%"
SC064Q06WA,TabSyn,ordinal,1.000,"3: 3.5%, 4: 6.4%, 10: 9.7%, 15: 6.1%, 20: 20.7%, 30: 4.1%, 33: 2.5%, 50: 7.5%, 70: 7.9%, 80: 9.1%, 90: 5.5%, 100: 17.0%"
SC064Q06WA,Tabula,ordinal,1.000,"3.0: 6.0%, 4.0: 8.0%, 10.0: 14.6%, 15.0: 6.0%, 20.0: 18.5%, 30.0: 2.0%, 33.0: 1.1%, 50.0: 6.0%, 70.0: 9.2%, 80.0: 9.0%, 90.0: 3.3%, 100.0: 16.3%"
SC064Q06WA,TapTap,ordinal,0.000,"3.015865958: 2.3%, 4.016048712: 7.5%, 8.73119598: 0.0%, 10.01714524: 12.0%, 14.98233819: 6.7%, 19.91181034: 0.0%, 19.98325196: 20.1%, 29.9850795: 6.2%, 32.98562776: 3.9%, 49.98873457: 7.0%, 69.99238965: 6.7%, 71.77843028: 0.0%, 79.99421719: 6.7%, 80.0120776: 0.0%, 89.99604473: 4.3%, 99.99787226: 16.4%"
SC064Q07WA,REAL,ordinal,,"1.0: 15.4%, 2.0: 12.9%, 3.0: 8.5%, 4.0: 3.2%, 5.0: 15.2%, 6.0: 4.6%, 7.0: 4.3%, 10.0: 10.3%, 15.0: 6.4%, 16.0: 3.5%, 30.0: 4.2%, 48.0: 6.9%, 100.0: 4.7%"
SC064Q07WA,CTGAN,ordinal,0.720,"1.0: 10.9%, 2.0: 12.0%, 3.0: 15.6%, 4.0: 11.6%, 5.0: 7.0%, 6.0: 3.8%, 7.0: 2.5%, 8.0: 1.8%, 9.0: 1.7%, 10.0: 2.1%, 11.0: 2.6%, 12.0: 2.4%, 13.0: 2.4%, 14.0: 1.8%, 15.0: 1.4%, 16.0: 1.5%, 17.0: 0.9%, 18.0: 0.5%, 19.0: 0.4%, 20.0: 0.4%, 21.0: 0.1%, 22.0: 0.0%, 23.0: 0.1%, 24.0: 0.0%, 25.0: 0.2%, 26.0: 0.5%, 27.0: 0.4%, 28.0: 0.6%, 29.0: 0.6%, 30.0: 0.7%, 31.0: 0.6%, 32.0: 0.3%, 33.0: 0.3%, 34.0: 0.2%, 35.0: 0.3%, 36.0: 0.1%, 37.0: 0.2%, 38.0: 0.0%, 39.0: 0.1%, 40.0: 0.1%, 41.0: 0.3%, 42.0: 0.4%, 43.0: 0.4%, 44.0: 0.4%, 45.0: 0.6%, 46.0: 0.7%, 47.0: 0.7%, 48.0: 0.6%, 49.0: 0.5%, 50.0: 0.5%, 51.0: 0.5%, 52.0: 0.4%, 53.0: 0.3%, 54.0: 0.1%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 59.0: 0.0%, 60.0: 0.0%, 73.0: 0.0%, 74.0: 0.0%, 77.0: 0.0%, 78.0: 0.0%, 80.0: 0.0%, 81.0: 0.0%, 82.0: 0.0%, 84.0: 0.0%, 85.0: 0.1%, 86.0: 0.0%, 87.0: 0.2%, 89.0: 0.2%, 90.0: 0.2%, 91.0: 0.0%, 92.0: 0.1%, 93.0: 0.2%, 94.0: 0.2%, 95.0: 0.1%, 96.0: 0.1%, 97.0: 0.2%, 98.0: 0.3%, 99.0: 0.1%, 100.0: 2.4%"
SC064Q07WA,GReaT,ordinal,1.000,"1.0: 15.4%, 2.0: 16.5%, 3.0: 7.1%, 4.0: 0.7%, 5.0: 18.4%, 6.0: 3.6%, 7.0: 5.8%, 10.0: 6.3%, 15.0: 5.3%, 16.0: 3.0%, 30.0: 3.4%, 48.0: 8.5%, 100.0: 5.9%"
