Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
GReaT,immig,SMP,0.122,-0.122,0.059,-0.064
Tabula,immig,SMP,0.084,-0.084,0.059,-0.025
TapTap,immig,SMP,0.017,-0.017,0.059,0.042
PredLLM,immig,SMP,0.024,-0.024,0.059,0.034
TabSyn,immig,SMP,0.024,0.024,0.059,0.083
TabDiff,immig,SMP,0.001,0.001,0.059,0.060
REaLTabFormer,immig,SMP,0.019,0.019,0.059,0.078
CTGAN,immig,SPI,0.054,-0.054,0.128,0.074
GReaT,immig,SPI,0.012,0.012,0.128,0.140
Tabula,immig,SPI,0.003,-0.003,0.128,0.125
TapTap,immig,SPI,0.002,0.002,0.128,0.131
PredLLM,immig,SPI,0.110,0.110,0.128,0.239
TabSyn,immig,SPI,0.048,-0.048,0.128,0.081
TabDiff,immig,SPI,0.027,-0.027,0.128,0.101
REaLTabFormer,immig,SPI,0.122,0.122,0.128,0.250
CTGAN,immig,SMS,0.015,0.015,0.012,0.027
GReaT,immig,SMS,0.063,-0.063,0.012,-0.050
Tabula,immig,SMS,0.053,-0.053,0.012,-0.041
TapTap,immig,SMS,0.023,0.023,0.012,0.035
PredLLM,immig,SMS,0.011,0.011,0.012,0.024
TabSyn,immig,SMS,0.031,0.031,0.012,0.043
TabDiff,immig,SMS,0.020,0.020,0.012,0.032
REaLTabFormer,immig,SMS,0.118,-0.118,0.012,-0.106
CTGAN,classSize,SMP,0.003,-0.003,0.107,0.104
GReaT,classSize,SMP,0.028,-0.028,0.107,0.078
Tabula,classSize,SMP,0.017,-0.017,0.107,0.090
TapTap,classSize,SMP,0.031,0.031,0.107,0.138
PredLLM,classSize,SMP,0.034,-0.034,0.107,0.073
TabSyn,classSize,SMP,0.016,0.016,0.107,0.122
TabDiff,classSize,SMP,0.001,-0.001,0.107,0.106
REaLTabFormer,classSize,SMP,0.059,-0.059,0.107,0.048
CTGAN,classSize,SPI,0.043,-0.043,-0.165,-0.207
GReaT,classSize,SPI,0.086,0.086,-0.165,-0.078
Tabula,classSize,SPI,0.086,0.086,-0.165,-0.079
TapTap,classSize,SPI,0.056,0.056,-0.165,-0.108
PredLLM,classSize,SPI,0.131,0.131,-0.165,-0.033
TabSyn,classSize,SPI,0.010,0.010,-0.165,-0.155
TabDiff,classSize,SPI,0.002,0.002,-0.165,-0.163
REaLTabFormer,classSize,SPI,0.104,-0.104,-0.165,-0.269
CTGAN,classSize,SMS,0.048,0.048,0.030,0.078
GReaT,classSize,SMS,0.024,-0.024,0.030,0.006
Tabula,classSize,SMS,0.005,0.005,0.030,0.035
TapTap,classSize,SMS,0.002,0.002,0.030,0.033
PredLLM,classSize,SMS,0.018,-0.018,0.030,0.012
TabSyn,classSize,SMS,0.022,-0.022,0.030,0.008
TabDiff,classSize,SMS,0.016,0.016,0.030,0.046
REaLTabFormer,classSize,SMS,0.032,0.032,0.030,0.062
CTGAN,schoolSize,SMP,0.015,0.015,0.116,0.131
GReaT,schoolSize,SMP,0.113,-0.113,0.116,0.003
